file	sub	difficulty_mask	alignment	status	last_pc	opcode	executed	requests_before_stop
ecldata1.ecl	15	1	64	UNSUPPORTED	5496	59	1	0
ecldata1.ecl	15	2	0	UNSUPPORTED	5496	59	1	0
ecldata1.ecl	15	2	32	UNSUPPORTED	5496	59	1	0
ecldata1.ecl	15	2	64	UNSUPPORTED	5496	59	1	0
ecldata1.ecl	15	4	0	UNSUPPORTED	5496	59	1	0
ecldata1.ecl	15	4	32	UNSUPPORTED	5496	59	1	0
ecldata1.ecl	15	4	64	UNSUPPORTED	5496	59	1	0
ecldata1.ecl	15	8	0	UNSUPPORTED	5496	59	1	0
ecldata1.ecl	15	8	32	UNSUPPORTED	5496	59	1	0
ecldata1.ecl	15	8	64	UNSUPPORTED	5496	59	1	0
ecldata1.ecl	15	15	0	UNSUPPORTED	5496	59	1	0
ecldata1.ecl	15	15	32	UNSUPPORTED	5496	59	1	0
ecldata1.ecl	15	15	64	UNSUPPORTED	5496	59	1	0
ecldata1.ecl	16	1	0	UNSUPPORTED	6068	81	1	0
ecldata1.ecl	16	1	32	UNSUPPORTED	6068	81	1	0
ecldata1.ecl	16	1	64	UNSUPPORTED	6068	81	1	0
ecldata1.ecl	16	2	0	UNSUPPORTED	6068	81	1	0
ecldata1.ecl	16	2	32	UNSUPPORTED	6068	81	1	0
ecldata1.ecl	16	2	64	UNSUPPORTED	6068	81	1	0
ecldata1.ecl	16	4	0	UNSUPPORTED	6068	81	1	0
ecldata1.ecl	16	4	32	UNSUPPORTED	6068	81	1	0
ecldata1.ecl	16	4	64	UNSUPPORTED	6068	81	1	0
ecldata1.ecl	16	8	0	UNSUPPORTED	6068	81	1	0
ecldata1.ecl	16	8	32	UNSUPPORTED	6068	81	1	0
ecldata1.ecl	16	8	64	UNSUPPORTED	6068	81	1	0
ecldata1.ecl	16	15	0	UNSUPPORTED	6068	81	1	0
ecldata1.ecl	16	15	32	UNSUPPORTED	6068	81	1	0
ecldata1.ecl	16	15	64	UNSUPPORTED	6068	81	1	0
ecldata1.ecl	17	1	0	REQUIRES_CONTEXT	11180	99	2	0
ecldata1.ecl	17	1	32	REQUIRES_CONTEXT	11180	99	2	0
ecldata1.ecl	17	1	64	REQUIRES_CONTEXT	11180	99	2	0
ecldata1.ecl	17	2	0	REQUIRES_CONTEXT	11224	99	2	0
ecldata1.ecl	17	2	32	REQUIRES_CONTEXT	11224	99	2	0
ecldata1.ecl	17	2	64	REQUIRES_CONTEXT	11224	99	2	0
ecldata1.ecl	17	4	0	REQUIRES_CONTEXT	11268	99	2	0
ecldata1.ecl	17	4	32	REQUIRES_CONTEXT	11268	99	2	0
ecldata1.ecl	17	4	64	REQUIRES_CONTEXT	11268	99	2	0
ecldata1.ecl	17	8	0	REQUIRES_CONTEXT	11312	99	2	0
ecldata1.ecl	17	8	32	REQUIRES_CONTEXT	11312	99	2	0
ecldata1.ecl	17	8	64	REQUIRES_CONTEXT	11312	99	2	0
ecldata1.ecl	17	15	0	REQUIRES_CONTEXT	11356	2	1	0
ecldata1.ecl	17	15	32	REQUIRES_CONTEXT	11356	2	1	0
ecldata1.ecl	17	15	64	REQUIRES_CONTEXT	11356	2	1	0
ecldata1.ecl	18	1	0	UNSUPPORTED	11404	59	1	0
ecldata1.ecl	18	1	32	UNSUPPORTED	11404	59	1	0
