tick	action_x	action_y	x	y
378	0	0	192.58578491210938	399.41421508789062
379	0	0	192.58578491210938	399.41421508789062
380	0	0	192.58578491210938	399.41421508789062
381	0	0	192.58578491210938	399.41421508789062
382	0	0	192.58578491210938	399.41421508789062
383	0	0	192.58578491210938	399.41421508789062
384	0	0	192.58578491210938	399.41421508789062
385	0	0	192.58578491210938	399.41421508789062
386	0	0	192.58578491210938	399.41421508789062
387	0	0	192.58578491210938	399.41421508789062
388	0	0	192.58578491210938	399.41421508789062
389	0	0	192.58578491210938	399.41421508789062
390	0	0	192.58578491210938	399.41421508789062
391	0	0	192.58578491210938	399.41421508789062
392	0	0	192.58578491210938	399.41421508789062
393	0	0	192.58578491210938	399.41421508789062
394	0	0	192.58578491210938	399.41421508789062
395	0	0	192.58578491210938	399.41421508789062
396	0	0	192.58578491210938	399.41421508789062
397	0	0	192.58578491210938	399.41421508789062
398	0	0	192.58578491210938	399.41421508789062
399	0	0	192.58578491210938	399.41421508789062
400	0	0	192.58578491210938	399.41421508789062
401	0	0	192.58578491210938	399.41421508789062
402	0	0	192.58578491210938	399.41421508789062
403	0	0	192.58578491210938	399.41421508789062
404	0	0	192.58578491210938	399.41421508789062
405	0	0	192.58578491210938	399.41421508789062
406	0	0	192.58578491210938	399.41421508789062
407	0	0	192.58578491210938	399.41421508789062
408	0	0	192.58578491210938	399.41421508789062
409	0	0	192.58578491210938	399.41421508789062
410	0	0	192.58578491210938	399.41421508789062
411	0	0	192.58578491210938	399.41421508789062
412	0	0	192.58578491210938	399.41421508789062
413	0	0	192.58578491210938	399.41421508789062
414	0	0	192.58578491210938	399.41421508789062
415	0	0	192.58578491210938	399.41421508789062
416	0	0	192.58578491210938	399.41421508789062
417	0	0	192.58578491210938	399.41421508789062
418	0	0	192.58578491210938	399.41421508789062
419	0	0	192.58578491210938	399.41421508789062
420	0	0	192.58578491210938	399.41421508789062
421	0	0	192.58578491210938	399.41421508789062
422	0	0	192.58578491210938	399.41421508789062
423	0	0	192.58578491210938	399.41421508789062
424	0	0	192.58578491210938	399.41421508789062
425	0	0	192.58578491210938	399.41421508789062
426	0	0	192.58578491210938	399.41421508789062
427	0	0	192.58578491210938	399.41421508789062
428	0	0	192.58578491210938	399.41421508789062
429	0	0	192.58578491210938	399.41421508789062
430	0	0	192.58578491210938	399.41421508789062
431	0	0	192.58578491210938	399.41421508789062
432	0	0	192.58578491210938	399.41421508789062
433	0	0	192.58578491210938	399.41421508789062
434	0	0	192.58578491210938	399.41421508789062
435	0	0	192.58578491210938	399.41421508789062
436	0	0	192.58578491210938	399.41421508789062
437	1	1	194	400.82843017578125
438	1	-1	195.41421508789062	399.41421508789062
439	-1	-1	194	398
440	-1	1	192.58578491210938	399.41421508789062
